020804,ANCASH,CASMA,YAUTAN,112441,YAUTAN,-77.99645658000,-9.51158170000
020803,ANCASH,CASMA,COMANDANTE NOEL,123890,PUERTO DE CASMA,-78.38320638000,-9.46133564000
100508,HUANUCO,HUAMALIES,PUNCHAO,127184,PUNCHAO,-76.81996172000,-9.46231567000
100606,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,130158,LAS PALMAS,-75.97240770000,-9.44229408000
100503,HUANUCO,HUAMALIES,CHAVIN DE PARIARCA,115603,CHAVIN DE PARIARCA,-76.77116698000,-9.42320734000
100510,HUANUCO,HUAMALIES,SINGA,129565,SINGA,-76.81251328000,-9.38867723000
020106,ANCASH,HUARAZ,JANGAS,123301,JANGAS,-77.57722532000,-9.40055497000
020112,ANCASH,HUARAZ,TARICA,122130,TARICA,-77.57535495000,-9.39360714000
100511,HUANUCO,HUAMALIES,TANTAMAYO,118817,TANTAMAYO,-76.72011023000,-9.39252744000
020611,ANCASH,CARHUAZ,YUNGAR,111379,YUNGAR,-77.59222184000,-9.37776462000
020607,ANCASH,CARHUAZ,PARIAHUANCA,130688,PARIAHUANCA,-77.58064116000,-9.36500076000
020608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,128656,SAN MIGUEL DE ACO,-77.56433153000,-9.36816712000
020604,ANCASH,CARHUAZ,ANTA,122489,ANTA,-77.59856806000,-9.35768246000
020606,ANCASH,CARHUAZ,MARCARA,110016,MARCARA,-77.60400809000,-9.32257739000
021205,ANCASH,HUAYLAS,MATO,130832,VILLA SUCRE,-77.84274683000,-8.96159841000
250103,UCAYALI,CORONEL PORTILLO,IPARIA,126518,IPARIA,-74.44082014000,-9.30655690000
020602,ANCASH,CARHUAZ,ACOPAMPA,129951,ACOPAMPA,-77.62578645000,-9.29439801000
100507,HUANUCO,HUAMALIES,MONZON,119919,MONZON,-76.39641462000,-9.27964745000
100608,HUANUCO,LEONCIO PRADO,CASTILLO GRANDE,552167,CASTILLO GRANDE,-76.00873463000,-9.27820464000
020610,ANCASH,CARHUAZ,TINCO,121919,TINCO,-77.67784953000,-9.27069407000
020605,ANCASH,CARHUAZ,ATAQUERO,131363,CARHUAC,-77.69167926000,-9.26213312000
021807,ANCASH,SANTA,SAMANCO,116143,SAMANCO,-78.49603170000,-9.26181601000
100605,HUANUCO,LEONCIO PRADO,LUYANDO,518515,NARANJILLO,-75.99372073000,-9.24873267000
100505,HUANUCO,HUAMALIES,JIRCAN,110288,JIRCAN,-76.71919650000,-9.24676760000
020603,ANCASH,CARHUAZ,AMASHCA,130497,AMASHCA,-77.64668587000,-9.23925567000
100602,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,528722,HERMILIO VALDIZAN,-75.83615984000,-9.20558461000
100602,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,539667,PUMAHUASI / DANIEL ALOMIA ROBLES,-75.95487138000,-9.18837958000
021207,ANCASH,HUAYLAS,PUEBLO LIBRE,619462,SAN JUAN/PUEBLO LIBRE VIEJO,-77.80191143000,-9.11031369000
021203,ANCASH,HUAYLAS,HUATA,119635,HUATA,-77.86151977000,-9.01628722000
021802,ANCASH,SANTA,CACERES DEL PERU,113225,JIMBE,-78.13780090000,-9.01312083000
020306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,113488,SAN JUAN DE RONTOY,-77.00253344000,-9.17522357000
021510,ANCASH,PALLASCA,SANTA ROSA,115579,SANTA ROSA,-78.06825666000,-8.52683141000
020902,ANCASH,CORONGO,ACO,125633,ACO,-77.87765452000,-8.52318100000
021805,ANCASH,SANTA,MORO,118508,MORO,-78.18293613000,-9.13887876000
021809,ANCASH,SANTA,NUEVO CHIMBOTE,625758,BUENOS AIRES / NUEVO CHIMBOTE,-78.53104362000,-9.12204173000
100403,HUANUCO,HUACAYBAMBA,COCHABAMBA,129896,COCHABAMBA,-76.83667352000,-9.09505705000
100402,HUANUCO,HUACAYBAMBA,CANCHABAMBA,118836,CANCHABAMBA,-77.12325921000,-8.88478754000
100610,HUANUCO,LEONCIO PRADO,SANTO DOMINGO DE ANDA,518132,PACAE,-76.06645380000,-9.02378864000
021803,ANCASH,SANTA,COISHCO,131658,COISHCO,-78.61513939000,-9.02291394000
021804,ANCASH,SANTA,MACATE,113326,MACATE,-78.06135882000,-8.76053675000
021808,ANCASH,SANTA,SANTA,117630,SANTA,-78.61356299000,-8.98744838000
021905,ANCASH,SIHUAS,CHINGALPO,126139,CHINGALPO,-77.59728465600,-8.33880127900
021210,ANCASH,HUAYLAS,YURACMARCA,114339,YURACMARCA,-77.90397721000,-8.73748516000
020905,ANCASH,CORONGO,LA PAMPA,125419,LA PAMPA,-77.90309509000,-8.66063536000
020703,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,115719,YAUYA,-77.29164858000,-8.99098534000
020702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,541154,SAN NICOLAS,-77.18937601000,-8.97569070000
021208,ANCASH,HUAYLAS,SANTA CRUZ,115870,HUARIPAMPA,-77.81490168000,-8.95171981000
131203,LA LIBERTAD,VIRU,GUADALUPITO,116683,GUADALUPITO,-78.62483903000,-8.95115815000
021307,ANCASH,MARISCAL LUZURIAGA,LUCMA,129257,LUCMA,-77.41098163000,-8.91939489000
021202,ANCASH,HUAYLAS,HUALLANCA,116202,HUALLANCA,-77.86180504000,-8.81831051000
021304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,126489,SANACHGAN,-77.27945268000,-8.80639085000
021308,ANCASH,MARISCAL LUZURIAGA,MUSGA,112001,MUSGA,-77.33892807000,-8.90630330000
021209,ANCASH,HUAYLAS,SANTO TORIBIO,117003,SANTO TORIBIO,-77.91432039000,-8.86457139000
100607,HUANUCO,LEONCIO PRADO,PUCAYACU,522494,PUCAYACU,-76.12132368000,-8.74960497000
100904,HUANUCO,PUERTO INCA,TOURNAVISTA,227874,TOURNAVISTA,-74.70266442000,-8.93379299000
100604,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,117260,AUCAYACU,-76.11603442000,-8.93155004000
100404,HUANUCO,HUACAYBAMBA,PINRA,128662,PINRA,-77.01529090000,-8.92480920000
021303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,112017,PAMPACHACRA,-77.24374267000,-8.90226108000
021204,ANCASH,HUAYLAS,HUAYLAS,128577,HUAYLAS,-77.89296813000,-8.87225646000
021602,ANCASH,POMABAMBA,HUAYLLAN,120458,HUAYLLAN,-77.43577088000,-8.85810477000
021302,ANCASH,MARISCAL LUZURIAGA,CASCA,126515,CASCA,-77.39823303000,-8.85536414000
250302,UCAYALI,PADRE ABAD,IRAZOLA,119177,SAN ALEJANDRO,-75.21330429000,-8.82874237000
020903,ANCASH,CORONGO,BAMBAS,128460,BAMBAS,-77.99676727000,-8.60250495000
250104,UCAYALI,CORONEL PORTILLO,MASISEA,121471,MASISEA,-74.30629090000,-8.60518377000
020907,ANCASH,CORONGO,YUPAN,127861,YUPAN,-77.96867978000,-8.61468333000
021910,ANCASH,SIHUAS,SICSIBAMBA,122598,UMBE,-77.53549949000,-8.62297521000
021904,ANCASH,SIHUAS,CASHAPAMPA,114439,CASHAPAMPA,-77.65282183000,-8.56093812000
131202,LA LIBERTAD,VIRU,CHAO,550195,CHAO,-78.67902102000,-8.53911202000
021906,ANCASH,SIHUAS,HUAYLLABAMBA,122793,HUAYLLABAMBA,-77.56694871000,-8.53448795000
021908,ANCASH,SIHUAS,RAGASH,114254,RAGASH,-77.66592194000,-8.53191324000
021507,ANCASH,PALLASCA,LLAPO,128042,LLAPO,-78.04195878000,-8.51449855000
020904,ANCASH,CORONGO,CUSCA,111920,CUSCA,-77.86466525000,-8.51312240000
250102,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,131034,CAMPO VERDE,-74.80558215000,-8.47238840000
021511,ANCASH,PALLASCA,TAUCA,123477,TAUCA,-78.03787458000,-8.47001260000
021504,ANCASH,PALLASCA,HUACASCHUQUE,119149,HUACASCHUQUE,-78.00468628000,-8.30643240000
021902,ANCASH,SIHUAS,ACOBAMBA,122662,ACOBAMBA,-77.58168838000,-8.32614535000
250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,131661,NUEVA REQUENA,-74.86265365000,-8.30970665000
130812,LA LIBERTAD,PATAZ,TAURIJA,118242,TAURIJA,-77.42306865000,-8.30758602000
130804,LA LIBERTAD,PATAZ,HUANCASPATA,115219,HUANCASPATA,-77.29840065000,-8.45731415000
021903,ANCASH,SIHUAS,ALFONSO UGARTE,128676,ULLULLUCO,-77.42660137000,-8.45584200000
130811,LA LIBERTAD,PATAZ,SANTIAGO DE CHALLAS,131632,CHALLAS,-77.32055039000,-8.43907990000
160210,LORETO,ALTO AMAZONAS,SANTA CRUZ,122878,SANTA CRUZ,-75.85873365000,-5.51306803000
220202,SAN MARTIN,BELLAVISTA,ALTO BIAVO,110708,CUZCO,-76.47654065000,-7.25550380000
200402,PIURA,MORROPON,BUENOS AIRES,133118,BUENOS AIRES,-79.96754358000,-5.26713272000
021305,ANCASH,MARISCAL LUZURIAGA,LLAMA,117614,LLAMA,-77.30150215000,-8.91527394000
090106,HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,123406,HUACHOCOLPA,-74.94708450000,-13.03172253000
021503,ANCASH,PALLASCA,CONCHUCOS,112842,CONCHUCOS,-77.85232944000,-8.26861581000
021509,ANCASH,PALLASCA,PAMPAS,120046,PAMPAS,-77.89558734000,-8.19514590000
250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,117673,PUERTO CALLAO,-74.57586903000,-8.35479099000
021502,ANCASH,PALLASCA,BOLOGNESI,129452,BOLOGNESI,-78.05031205000,-8.35045832000
130813,LA LIBERTAD,PATAZ,URPAY,115739,URPAY,-77.38922353000,-8.34790965000
221004,SAN MARTIN,TOCACHE,SHUNTE,620311,MONTE CRISTO,-76.72942116000,-8.35148003000
021506,ANCASH,PALLASCA,LACABAMBA,132345,LACABAMBA,-77.89829803000,-8.26049457000
130109,LA LIBERTAD,TRUJILLO,SALAVERRY,112819,SALAVERRY,-78.97640290000,-8.22416440000
130106,LA LIBERTAD,TRUJILLO,LAREDO,121571,LAREDO,-78.95946202000,-8.08639140000
130111,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,129624,VICTOR LARCO HERRERA / BUENOS AIRES,-79.05613890000,-8.14359178000
130503,LA LIBERTAD,JULCAN,CARABAMBA,112931,CARABAMBA,-78.60773265000,-8.11279891000
130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,523060,LA ESPERANZA,-79.04097302000,-8.08293916000
130103,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,517438,FLORENCIA DE MORA,-79.02365152000,-8.08203314000
130104,LA LIBERTAD,TRUJILLO,HUANCHACO,111576,HUANCHACO,-79.12046128000,-8.07995827000
130108,LA LIBERTAD,TRUJILLO,POROTO,130714,POROTO,-78.76793602000,-8.01143365000
061310,CAJAMARCA,SANTA CRUZ,UTICYACU,123830,UTICYACU,-78.79398930000,-6.60659667000
060203,CAJAMARCA,CAJABAMBA,CONDEBAMBA,115043,CAUDAY,-78.06999917000,-7.57399260000
130903,LA LIBERTAD,SANCHEZ CARRION,COCHORCO,128407,ARICAPAMPA,-77.71737526000,-7.80650815000
021508,ANCASH,PALLASCA,PALLASCA,132898,PALLASCA,-77.99895937000,-8.25313339000
130206,LA LIBERTAD,ASCOPE,RAZURI,133236,PUERTO MALABRIGO,-79.43713403000,-7.70212789000
131104,LA LIBERTAD,GRAN CHIMU,SAYAPULLO,127535,SAYAPULLO,-78.46585465000,-7.59549628000
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,128765,DURAZNO PAMPA,-77.80891640000,-6.59416039000
061305,CAJAMARCA,SANTA CRUZ,LA ESPERANZA,112549,LA ESPERANZA,-78.89577150000,-6.59303430000
200105,PIURA,PIURA,CATACAOS,121984,CATACAOS,-80.67607352000,-5.26553532000
200404,PIURA,MORROPON,LA MATANZA,120793,LA MATANZA,-80.09059927000,-5.21393402000
200104,PIURA,PIURA,CASTILLA,114226,CASTILLA,-80.62244468000,-5.20149034000
160206,LORETO,ALTO AMAZONAS,LAGUNAS,127857,LAGUNAS,-75.67964590000,-5.22700115000
221005,SAN MARTIN,TOCACHE,UCHIZA,118543,UCHIZA,-76.46195070000,-8.45892886000
100702,HUANUCO,MARA├æON,CHOLON,124709,SAN PEDRO DE CHONTA,-76.87494846000,-8.65609382000
080307,CUSCO,ANTA,MOLLEPATA,126668,MOLLEPATA,-72.52765852000,-13.50880087000
080306,CUSCO,ANTA,LIMATAMBO,119833,LIMATAMBO,-72.44326683000,-13.47970532000
100704,HUANUCO,MARA├æON,LA MORADA,130857,LA MORADA,-76.24963501500,-8.79466842900
100705,HUANUCO,MARA├æON,SANTA ROSA DE ALTO YANAJANCA,243294,SANTA ROSA DE ALTO YANAJANCA,-76.31500257000,-8.65340683000
080904,CUSCO,LA CONVENCION,MARANURA,121157,MARANURA,-72.66452667000,-12.96330224000
080908,CUSCO,LA CONVENCION,SANTA TERESA,130056,SANTA TERESA,-72.59423111000,-13.13018788000
080909,CUSCO,LA CONVENCION,VILCABAMBA,127123,LUCMA,-72.93366624000,-13.06432693000
081207,CUSCO,QUISPICANCHI,HUARO,116709,HUARO,-71.64067383000,-13.69011916000
081205,CUSCO,QUISPICANCHI,CCATCA,126721,CCATCCA,-71.56346954000,-13.60502349000
081210,CUSCO,QUISPICANCHI,OCONGATE,132971,OCONGATE,-71.38837656000,-13.62699367000
081209,CUSCO,QUISPICANCHI,MARCAPATA,530721,MARCAPATA,-70.97472343000,-13.59183807000
130107,LA LIBERTAD,TRUJILLO,MOCHE,114208,MOCHE,-79.00895078000,-8.17147803000
130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,528522,EL PORVENIR,-78.99310465000,-8.07382952000
130110,LA LIBERTAD,TRUJILLO,SIMBAL,127088,SIMBAL,-78.81359078000,-7.97636215000
130207,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,127734,SANTIAGO DE CAO,-79.23883690000,-7.96257627000
160603,LORETO,UCAYALI,PADRE MARQUEZ,237260,TIRUNTAN,-74.84077733000,-7.94675579000
060112,CAJAMARCA,CAJAMARCA,SAN JUAN,118200,SAN JUAN,-78.49754235000,-7.29173518000
130606,LA LIBERTAD,OTUZCO,LA CUESTA,124478,LA CUESTA,-78.70497922000,-7.91891461000
130204,LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,124362,MAGDALENA DE CAO,-79.29433903000,-7.87759915000
130904,LA LIBERTAD,SANCHEZ CARRION,CURGOS,123770,CURGOS,-77.94355253000,-7.86027290000
130613,LA LIBERTAD,OTUZCO,SINSICAP,112930,SINSICAP,-78.75449465000,-7.85154452000
130202,LA LIBERTAD,ASCOPE,CHICAMA,128244,CHICAMA,-79.14388178000,-7.84281202000
130203,LA LIBERTAD,ASCOPE,CHOCOPE,126511,CHOCOPE,-79.22265040000,-7.79190527000
130902,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,110521,CHUGAY,-77.86780290000,-7.78236740000
130208,LA LIBERTAD,ASCOPE,CASA GRANDE,113413,CASA GRANDE,-79.18795965000,-7.74458990000
060105,CAJAMARCA,CAJAMARCA,ENCA├æADA,117463,ENCA├æADA,-78.34275399000,-7.08492884000
130205,LA LIBERTAD,ASCOPE,PAIJAN,122009,PAIJAN,-79.30330502000,-7.73430503000
130908,LA LIBERTAD,SANCHEZ CARRION,SARTIMBAMBA,111030,SARTIMBAMBA,-77.74357765000,-7.69889653000
131103,LA LIBERTAD,GRAN CHIMU,MARMOT,114644,COMPIN,-78.62588865000,-7.69868589000
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,650072,SAN JUAN DE LOPECANCHA,-77.86193839000,-6.49663690000
061007,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,123071,VENECIA,-78.03667486000,-7.25127020000
060204,CAJAMARCA,CAJABAMBA,SITACOCHA,110327,LLUCHUBAMBA,-77.96931950000,-7.51943124000
060109,CAJAMARCA,CAJAMARCA,MAGDALENA,131300,MAGDALENA,-78.65924034000,-7.25061800000
061003,CAJAMARCA,SAN MARCOS,EDUARDO VILLANUEVA,126486,LA GRAMA,-78.12947199000,-7.46431345000
060202,CAJAMARCA,CAJABAMBA,CACHACHI,117152,CACHACHI,-78.26865916000,-7.44878386000
060104,CAJAMARCA,CAJAMARCA,COSPAN,130799,COSPAN,-78.54235967000,-7.42702644000
130704,LA LIBERTAD,PACASMAYO,PACASMAYO,116488,PACASMAYO,-79.57222390000,-7.40112877000
061002,CAJAMARCA,SAN MARCOS,CHANCAY,125766,CHANCAY,-78.12368552000,-7.38814393000
061005,CAJAMARCA,SAN MARCOS,ICHOCAN,116628,ICHOCAN,-78.13018326000,-7.36840948000
130705,LA LIBERTAD,PACASMAYO,SAN JOSE,114332,SAN JOSE,-79.45502652000,-7.35005215000
061006,CAJAMARCA,SAN MARCOS,JOSE MANUEL QUIROZ,123576,SHIRAC,-78.04782037000,-7.34924769000
130703,LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,131879,JEQUETEPEQUE,-79.56321027000,-7.33785815000
060102,CAJAMARCA,CAJAMARCA,ASUNCION,124513,ASUNCION,-78.51854531000,-7.32343556000
061004,CAJAMARCA,SAN MARCOS,GREGORIO PITA,126211,PAUCAMARCA,-78.15972230000,-7.27362393000
060106,CAJAMARCA,CAJAMARCA,JESUS,125619,JESUS,-78.37951002400,-7.24902577000
130702,LA LIBERTAD,PACASMAYO,GUADALUPE,121869,GUADALUPE,-79.47033327000,-7.24329940000
060111,CAJAMARCA,CAJAMARCA,NAMORA,110614,NAMORA,-78.32526455000,-7.20223074000
160604,LORETO,UCAYALI,PAMPA HERMOSA,120183,PAMPA HERMOSA,-75.29365419000,-7.19632941000
130402,LA LIBERTAD,CHEPEN,PACANGA,126593,PACANGA,-79.48580252000,-7.17135590000
061202,CAJAMARCA,SAN PABLO,SAN BERNARDINO,112212,SAN BERNARDINO,-78.82819324000,-7.16852881000
130306,LA LIBERTAD,BOLIVAR,UCUNCHA,133015,UCUNCHA,-77.85931378300,-7.16541167200
060108,CAJAMARCA,CAJAMARCA,LOS BA├æOS DEL INCA,125194,LOS BA├æOS DEL INCA,-78.46484423000,-7.16382047000
061203,CAJAMARCA,SAN PABLO,SAN LUIS,120655,SAN LUIS,-78.86787282000,-7.15732752000
060103,CAJAMARCA,CAJAMARCA,CHETILLA,129401,CHETILLA,-78.67277196000,-7.14700831000
160602,LORETO,UCAYALI,INAHUAYA,113795,INAHUAYA,-75.26311849000,-7.11714195000
140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,538848,LA VICTORIA,-79.84454977200,-6.79507353100
220702,SAN MARTIN,PICOTA,BUENOS AIRES,115733,BUENOS AIRES,-76.32743809000,-6.79169446000
050606,AYACUCHO,LUCANAS,CHIPAO,119923,CHIPAO,-73.87605974000,-14.36574777000
030303,APURIMAC,ANTABAMBA,HUAQUIRCA,111910,HUAQUIRCA,-72.89463542000,-14.33984861000
080705,CUSCO,CHUMBIVILCAS,LIVITACA,118157,LIVITACA,-71.68934152000,-14.31257117000
030307,APURIMAC,ANTABAMBA,SABAINO,114216,SABAINO,-72.94507327000,-14.31349743000
050603,AYACUCHO,LUCANAS,CABANA,115836,CABANA,-73.96708821000,-14.28854408000
050602,AYACUCHO,LUCANAS,AUCARA,115590,AUCARA,-73.97472874000,-14.28112037000
080703,CUSCO,CHUMBIVILCAS,CHAMACA,113437,CHAMACA,-71.85265728000,-14.30239542000
030713,APURIMAC,GRAU,VIRUNDO,129041,VIRUNDO,-72.68104902000,-14.25061224000
030504,APURIMAC,COTABAMBAS,HAQUIRA,133273,HAQUIRA,-72.18821731000,-14.21412600000
050610,AYACUCHO,LUCANAS,LLAUTA,133363,LLAUTA,-74.91996276000,-14.24370477000
080606,CUSCO,CANCHIS,SAN PABLO,128657,SAN PABLO,-71.31477727000,-14.20190730000
030417,APURIMAC,AYMARAES,YANACA,113094,YANACA,-73.16020983000,-14.22585123000
110105,ICA,ICA,PACHACUTEC,110425,PAMPA DE TATE,-75.69133928000,-14.15457391000
080608,CUSCO,CANCHIS,TINTA,117118,TINTA,-71.40720119600,-14.14569329900
151012,LIMA,YAUYOS,HONGOS,110116,HONGOS,-75.76518904000,-12.81046256000
050412,AYACUCHO,HUANTA,CHACA,128946,CHACA,-74.20589460700,-12.78441444700
030305,APURIMAC,ANTABAMBA,OROPESA,120047,OROPESA,-72.55433019000,-14.26260918000
030410,APURIMAC,AYMARAES,POCOHUANCA,115709,POCOHUANCA,-73.08698695000,-14.21854336000
110104,ICA,ICA,OCUCAJE,128200,OCUCAJE,-75.67167521000,-14.34710367000
060312,CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,114091,LA LIBERTAD DE PALLAN,-78.28200492000,-6.72322238000
130305,LA LIBERTAD,BOLIVAR,UCHUMARCA,122406,UCHUMARCA,-77.80560752000,-7.04700002000
130304,LA LIBERTAD,BOLIVAR,LONGOTEA,111677,LONGOTEA,-77.87205040000,-7.04369602000
060308,CAJAMARCA,CELENDIN,OXAMARCA,121407,OXAMARCA,-78.06804273000,-7.04190564000
220707,SAN MARTIN,PICOTA,SAN HILARION,123135,SAN CRISTOBAL DE SISA,-76.43914000000,-7.00423000000
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,112538,CHUQUIBAMBA,-77.85456702000,-6.93479402000
220706,SAN MARTIN,PICOTA,SAN CRISTOBAL,124169,PUERTO RICO,-76.42065421000,-6.99199127000
061308,CAJAMARCA,SANTA CRUZ,SAUCEPAMPA,650074,SAUCEPAMPA,-78.91659716000,-6.69066772000
140107,LAMBAYEQUE,CHICLAYO,LAGUNAS,123368,MOCUPE,-79.62226352000,-6.99115564000
061204,CAJAMARCA,SAN PABLO,TUMBADEN,116513,TUMBADEN,-78.73967677000,-7.02495336000
061103,CAJAMARCA,SAN MIGUEL,CALQUIS,132690,CALQUIS,-78.84999536000,-6.98017248000
061107,CAJAMARCA,SAN MIGUEL,LLAPA,127382,LLAPA,-78.80756344000,-6.98082685000
061111,CAJAMARCA,SAN MIGUEL,SAN SILVESTRE DE COCHAN,120998,SAN SILVESTRE DE COCHAN,-78.77411852000,-6.97768992000
060310,CAJAMARCA,CELENDIN,SUCRE,113044,SUCRE,-78.13569833000,-6.94266088000
060305,CAJAMARCA,CELENDIN,JORGE CHAVEZ,128243,LUCMAPAMPA,-78.09172761000,-6.94138304000
140104,LAMBAYEQUE,CHICLAYO,ETEN PUERTO,123491,PUERTO DE ETEN,-79.86601427000,-6.92753803000
140111,LAMBAYEQUE,CHICLAYO,PICSI,128812,PICSI,-79.77018290000,-6.71833552000
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,123865,LEYMEBAMBA,-77.80370628000,-6.70787415000
060306,CAJAMARCA,CELENDIN,JOSE GALVEZ,112050,HUACAPAMPA,-78.13283343000,-6.92571211000
140115,LAMBAYEQUE,CHICLAYO,SA├æA,110995,ZA├æA,-79.58353290000,-6.92401927000
060309,CAJAMARCA,CELENDIN,SOROCHUCO,132478,SOROCHUCO,-78.25508302000,-6.91168586000
140109,LAMBAYEQUE,CHICLAYO,NUEVA ARICA,127667,NUEVA ARICA,-79.34378015000,-6.87382027000
160606,LORETO,UCAYALI,VARGAS GUERRA,128960,ORELLANA,-75.15827561000,-6.91147176000
140103,LAMBAYEQUE,CHICLAYO,ETEN,115730,ETEN,-79.86280028000,-6.90754253000
060311,CAJAMARCA,CELENDIN,UTCO,119052,UTCO,-78.06329555000,-6.89641166000
140116,LAMBAYEQUE,CHICLAYO,CAYALTI,118596,CAYALTI,-79.56200040000,-6.89223277000
140108,LAMBAYEQUE,CHICLAYO,MONSEFU,115845,MONSEFU,-79.87188639000,-6.87787802000
140113,LAMBAYEQUE,CHICLAYO,REQUE,119865,REQUE,-79.81871728000,-6.86523727000
